Gene,Importance
U48705_rna1_s_at,0.09138932099128647
M19645_at,0.06521306084905586
X15187_at,0.052553136729773194
U24266_at,0.050466849641950556
M63623_at,0.049670679805639696
X13916_at,0.04483227730807607
L36818_at,0.04266613338576507
HG620-HT620_at,0.04158340458098245
U31383_at,0.040354558643365006
S69272_s_at,0.03723028689134262
M14636_at,0.031791265811114605
U79294_at,0.03105490248844687
U55853_at,0.028406975652095733
U45955_at,0.024424892748071015
X86809_at,0.02256461516803835
U48250_at,0.02204263726157144
X68733_rna1_at,0.020783520873588902
D16481_at,0.02047723608158376
U96769_rna1_at,0.019786631763027446
X67698_at,0.019438055103419075
L20971_at,0.017967230679216305
U59877_s_at,0.01644042050217925
D14826_s_at,0.01604240850660023
U20350_at,0.015451411524741467
U18934_at,0.015057989104666379
U67156_at,0.014935824048187728
L08424_at,0.012955490343929907
M93426_at,0.01165637592044946
U79242_at,0.01038079921280811
D63506_at,0.010251624805462257
U00921_at,0.009592896250477916
M22403_s_at,0.009548528612229455
D13631_s_at,0.008460966015248504
D25304_at,0.008150084105607925
M16447_at,0.007967433068859091
M84349_at,0.006360770339816133
J04543_at,0.006020322647325239
U90552_s_at,0.005583091093969538
HG3576-HT3779_f_at,0.00540345764189415
Y00318_at,0.005249593577272474
S95936_at,0.004895626700184805
HG1828-HT1857_at,0.004868822805382956
U76456_at,0.004739708181816617
U60975_at,0.0046794871148433
M57466_s_at,0.004374260823213898
U07802_at,0.0027302809540878763
U90916_at,0.001796961779776768
Y08374_rna1_at,0.000909764400418218
X55740_at,0.000590673575129529
Z50022_at,0.00020725388601036253
