Gene,Importance
D14662_at,0.07388347856057215
Z34975_at,0.06507795893093467
U48705_rna1_s_at,0.06018715673446255
M14636_at,0.056359541423797725
Y07566_at,0.05053096083260622
L20971_at,0.04642779160679134
U90916_at,0.043179756712849314
D83174_s_at,0.03504126564837013
L49054_at,0.035018723797994214
M20137_at,0.0344295079075111
U52155_at,0.0335327782346472
D13900_at,0.03345443305979485
D13631_s_at,0.03253543472819189
D45248_at,0.030593329345977305
M93426_at,0.02437285114918696
D50405_at,0.021726583759260423
X87241_at,0.021627895077868664
U48250_at,0.021472616442878862
U76456_at,0.020067915339980924
U79242_at,0.01987553229031317
L11373_at,0.01921242279925054
D87328_at,0.01705355072336449
U45955_at,0.016558551131526014
L77213_at,0.014836830515095297
L14565_at,0.012947239961705496
S78187_at,0.0125287662217242
X16665_at,0.011424126904855694
U83908_at,0.011363389471317643
X68733_rna1_at,0.011086626454394264
X86809_at,0.010945212844465932
M80563_at,0.010358190579989036
M90820_at,0.009940989916696442
U89942_at,0.00983527919501511
X99142_at,0.008738255041908677
U96131_at,0.008577711268872183
L25878_s_at,0.008398856995386794
X51417_at,0.008127231850626832
X86693_at,0.006819747316220159
U85611_at,0.0067161500808734466
M24486_s_at,0.006192099281893512
M61156_at,0.0061209938675732415
D13168_at,0.004683172335305433
X13839_at,0.002013445716343648
M17863_s_at,0.001921214381127803
S83198_at,0.0018715165327062662
Y07604_at,0.0012680015960476595
D21255_at,0.0010649154317243325
D31840_s_at,8.568389660696862e-18
D12485_at,7.368213463577487e-18
U00921_at,5.7026501041024556e-18
